Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
KiKit_TO_3,NPTH,NPTH,3.0,-122.399995,0.0,top
KiKit_TO_4,NPTH,NPTH,77.000006,-122.399995,0.0,top
N1-0,SK6805-EC14,SK6805-EC14,8.808009,-9.643,0.0,top
N1-1,SK6805-EC14,SK6805-EC14,43.808009,-9.643,0.0,top
N2-0,SK6805-EC14,SK6805-EC14,12.231009,-9.643,0.0,top
N2-1,SK6805-EC14,SK6805-EC14,47.231009,-9.643,0.0,top
N3-0,SK6805-EC14,SK6805-EC14,15.654009,-9.643,0.0,top
N3-1,SK6805-EC14,SK6805-EC14,50.654009,-9.643,0.0,top
N4-0,SK6805-EC14,SK6805-EC14,19.077009,-9.643,0.0,top
N4-1,SK6805-EC14,SK6805-EC14,54.077009,-9.643,0.0,top
N5-0,SK6805-EC14,SK6805-EC14,22.500009,-9.643,0.0,top
N5-1,SK6805-EC14,SK6805-EC14,57.500009,-9.643,0.0,top
N6-0,SK6805-EC14,SK6805-EC14,25.923009,-9.643,0.0,top
N6-1,SK6805-EC14,SK6805-EC14,60.923009,-9.643,0.0,top
N7-0,SK6805-EC14,SK6805-EC14,29.346009,-9.643,0.0,top
N7-1,SK6805-EC14,SK6805-EC14,64.346009,-9.643,0.0,top
N8-0,SK6805-EC14,SK6805-EC14,32.769009,-9.643,0.0,top
N8-1,SK6805-EC14,SK6805-EC14,67.769009,-9.643,0.0,top
N9-0,SK6805-EC14,SK6805-EC14,36.192009,-9.643,0.0,top
N9-1,SK6805-EC14,SK6805-EC14,71.192009,-9.643,0.0,top
N10-0,SK6805-EC14,SK6805-EC14,8.808009,-13.066,0.0,top
N10-1,SK6805-EC14,SK6805-EC14,43.808009,-13.066,0.0,top
N11-0,SK6805-EC14,SK6805-EC14,12.231009,-13.066,0.0,top
N11-1,SK6805-EC14,SK6805-EC14,47.231009,-13.066,0.0,top
N12-0,SK6805-EC14,SK6805-EC14,15.654009,-13.066,0.0,top
N12-1,SK6805-EC14,SK6805-EC14,50.654009,-13.066,0.0,top
N13-0,SK6805-EC14,SK6805-EC14,19.077009,-13.066,0.0,top
N13-1,SK6805-EC14,SK6805-EC14,54.077009,-13.066,0.0,top
N14-0,SK6805-EC14,SK6805-EC14,22.500009,-13.066,0.0,top
N14-1,SK6805-EC14,SK6805-EC14,57.500009,-13.066,0.0,top
N15-0,SK6805-EC14,SK6805-EC14,25.923009,-13.066,0.0,top
N15-1,SK6805-EC14,SK6805-EC14,60.923009,-13.066,0.0,top
N16-0,SK6805-EC14,SK6805-EC14,29.346009,-13.066,0.0,top
N16-1,SK6805-EC14,SK6805-EC14,64.346009,-13.066,0.0,top
N17-0,SK6805-EC14,SK6805-EC14,32.769009,-13.066,0.0,top
N17-1,SK6805-EC14,SK6805-EC14,67.769009,-13.066,0.0,top
N18-0,SK6805-EC14,SK6805-EC14,36.192009,-13.066,0.0,top
N18-1,SK6805-EC14,SK6805-EC14,71.192009,-13.066,0.0,top
N19-0,SK6805-EC14,SK6805-EC14,8.808009,-16.489,0.0,top
N19-1,SK6805-EC14,SK6805-EC14,43.808009,-16.489,0.0,top
N20-0,SK6805-EC14,SK6805-EC14,12.231009,-16.489,0.0,top
N20-1,SK6805-EC14,SK6805-EC14,47.231009,-16.489,0.0,top
N21-0,SK6805-EC14,SK6805-EC14,15.654009,-16.489,0.0,top
N21-1,SK6805-EC14,SK6805-EC14,50.654009,-16.489,0.0,top
N22-0,SK6805-EC14,SK6805-EC14,19.077009,-16.489,0.0,top
N22-1,SK6805-EC14,SK6805-EC14,54.077009,-16.489,0.0,top
N23-0,SK6805-EC14,SK6805-EC14,22.500009,-16.489,0.0,top
N23-1,SK6805-EC14,SK6805-EC14,57.500009,-16.489,0.0,top
N24-0,SK6805-EC14,SK6805-EC14,25.923009,-16.489,0.0,top
N24-1,SK6805-EC14,SK6805-EC14,60.923009,-16.489,0.0,top
N25-0,SK6805-EC14,SK6805-EC14,29.346009,-16.489,0.0,top
N25-1,SK6805-EC14,SK6805-EC14,64.346009,-16.489,0.0,top
N26-0,SK6805-EC14,SK6805-EC14,32.769009,-16.489,0.0,top
N26-1,SK6805-EC14,SK6805-EC14,67.769009,-16.489,0.0,top
N27-0,SK6805-EC14,SK6805-EC14,36.192009,-16.489,0.0,top
N27-1,SK6805-EC14,SK6805-EC14,71.192009,-16.489,0.0,top
N28-0,SK6805-EC14,SK6805-EC14,8.808009,-19.912,0.0,top
N28-1,SK6805-EC14,SK6805-EC14,43.808009,-19.912,0.0,top
N29-0,SK6805-EC14,SK6805-EC14,12.231009,-19.912,0.0,top
N29-1,SK6805-EC14,SK6805-EC14,47.231009,-19.912,0.0,top
N30-0,SK6805-EC14,SK6805-EC14,15.654009,-19.912,0.0,top
N30-1,SK6805-EC14,SK6805-EC14,50.654009,-19.912,0.0,top
N31-0,SK6805-EC14,SK6805-EC14,19.077009,-19.912,0.0,top
N31-1,SK6805-EC14,SK6805-EC14,54.077009,-19.912,0.0,top
N32-0,SK6805-EC14,SK6805-EC14,22.500009,-19.912,0.0,top
N32-1,SK6805-EC14,SK6805-EC14,57.500009,-19.912,0.0,top
N33-0,SK6805-EC14,SK6805-EC14,25.923009,-19.912,0.0,top
N33-1,SK6805-EC14,SK6805-EC14,60.923009,-19.912,0.0,top
N34-0,SK6805-EC14,SK6805-EC14,29.346009,-19.912,0.0,top
N34-1,SK6805-EC14,SK6805-EC14,64.346009,-19.912,0.0,top
N35-0,SK6805-EC14,SK6805-EC14,32.769009,-19.912,0.0,top
N35-1,SK6805-EC14,SK6805-EC14,67.769009,-19.912,0.0,top
N36-0,SK6805-EC14,SK6805-EC14,36.192009,-19.912,0.0,top
N36-1,SK6805-EC14,SK6805-EC14,71.192009,-19.912,0.0,top
N37-0,SK6805-EC14,SK6805-EC14,8.808009,-23.335,0.0,top
N37-1,SK6805-EC14,SK6805-EC14,43.808009,-23.335,0.0,top
